"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Добавить книгу в библиотеку","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя выдать несуществующую книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Вернуть взятую книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Пользователь не может взять ту же книгу дважды","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","1","Пользователь без взятых книг возвращает пустой список","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя взять уже взятую книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Удаление несуществующей книги вызывает ошибку","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Пользователь возвращает книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Регистрация дубликата вызывает ошибку","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Поиск книг по названию","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Поиск книг по ISBN","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Пустая библиотека имеет 0 книг и 0 пользователей","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Выдать книгу успешно","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Вернуть книгу успешно","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя вернуть книгу, взятую другим пользователем","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя удалить пользователя с взятыми книгами","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Зарегистрировать нового пользователя","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Получить книги, взятые конкретным пользователем","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Получить взятые книги","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Удалить книгу из библиотеки","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","1","Пользователь берёт книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Поиск книг по автору","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Взять книгу успешно","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя удалить взятую книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя вернуть книгу, которую не брал","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Создание книги","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","1","Нельзя выдать уже выданную книгу","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Нельзя выдать одну книгу дважды одному пользователю","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Удалить пользователя без книг","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Возврат доступной книги ничего не делает","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","1","Нельзя вернуть книгу, которая не была взята","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Получить доступные книги","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Строковое представление библиотеки","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
"","0","Создание пользователя","","Sun May 03 05:20:49 UTC 2026","passed","Sun May 03 05:20:49 UTC 2026","","test_library","",""
